company_name,rank,state,county,amount_owed,total_balance,tax_type,warrant_id,filed_date,source,source_url,industry,priority_score,sp500_match,scraped_at
"2013 MANHATTAN ASSETS, INC.",1,NY,NEW YORK,349.26,26108167.96,Corporation,E038618986W001,Apr,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Real Estate,critical,False,2026-04-11T15:31:45.365270
ZAHMEL RESTAURANT SUPPLIES CORP. TRADING AS CASH & CARRY FOODS,3,NY,NASSAU,13526041.49,13526041.49,Sales and Use,E816309561W002,Jan,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,critical,False,2026-04-11T15:31:45.365312
655 FIFTH AVENUE MANHATTAN CORPORATION,4,NY,NEW YORK,7362979.78,9914422.12,Corporation,E008371042W001,Jan,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,critical,False,2026-04-11T15:31:45.365326
WOODSIDE MANAGEMENT INC.,5,NY,QUEENS,34577.51,6332907.5,Corporation,E815509335W104,Nov,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Property Management,critical,False,2026-04-11T15:31:45.375621
WOODSIDE MANAGEMENT INC.,5,NY,QUEENS,36278.48,6332907.5,Taxicab Fee,E815509335W028,Jul,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Property Management,critical,False,2026-04-11T15:31:45.385677
WOODSIDE MANAGEMENT INC.,5,NY,QUEENS,39664.95,6332907.5,Taxicab Fee,E815509335W054,Jul,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Property Management,critical,False,2026-04-11T15:31:45.396553
GLOBAL ENERGY EFFICIENCY HOLDINGS INC.,6,NY,ONONDAGA,6412.5,6012207.86,Corporation,E037097881W008,Oct,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,critical,False,2026-04-11T15:31:45.396568
TAKARA INDUSTRY CORPORATION,7,NY,NEW YORK,1510857.38,5766891.77,Corporation,E036875781W005,May,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,critical,False,2026-04-11T15:31:45.396578
TIMOTHY DERAU D/B/A TIMOTHY TECH,8,NY,ALBANY,953.51,5229166.06,Sales and Use,E059764473W003,Nov,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,critical,False,2026-04-11T15:31:45.396589
"SHERRY-LEHMANN, INC.",9,NY,NEW YORK,232784.98,4941374.79,Use,E019010486W007,Mar,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.410244
"RCI PLBG, INC.",10,NY,RICHMOND,13059.5,4599095.52,Corporation,E037445438W003,Jan,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.410269
TEN UNDERSCORES LLC TRADING AS INTENTIONALLY BLANK,11,NY,COLUMBIA,3932853.71,3932853.71,Sales and Use,E322011113W003,Dec,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.410282
NOVOFAM LLC A/K/A GALAXY GROUP INVESTMENTS LLC,12,NY,NEW YORK,3837461.86,3837461.86,Withholding,E059423243W001,Feb,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.410291
Q8 GROUP INC.,13,NY,QUEENS,2298.46,3823700.09,Corporation,E044923881W008,Apr,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.410298
26 AUTO SALES INC.,14,NY,KINGS,3757948.73,3757948.73,Sales and Use,E060436921W001,Jan,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,high,False,2026-04-11T15:31:45.410306
TRIANGLE AUTO INC.,15,NY,KINGS,1137.01,3582753.13,Sales and Use,E024038191W001,May,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,high,False,2026-04-11T15:31:45.410313
"HAWK CONTRACTING OF NY, INC.",16,NY,KINGS,701.19,3227567.54,Corporation,E028584586W007,Sep,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Construction,high,False,2026-04-11T15:31:45.410322
RACK OIL CORP.,17,NY,KINGS,1662.73,3196587.24,Corporation,E046620539W003,Oct,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.420500
"SHAWN MCKEE ENTERPRISES, INC.",18,NY,SUFFOLK,1932490.74,2945708.86,Sales and Use,E037020876W004,Dec,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.420516
"TUNNEL TAXI MANAGEMENT, LLC",19,NY,QUEENS,5758.15,2853046.52,Corporation,E032517876W077,Feb,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Real Estate,high,False,2026-04-11T15:31:45.430728
"TUNNEL TAXI MANAGEMENT, LLC",19,NY,NEW YORK,33510.01,2853046.52,Taxicab Fee,E032517876W049,May,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Real Estate,high,False,2026-04-11T15:31:45.441222
DAVID J HOFFMAN D/B/A HOFFMAN AUTO SALES,21,NY,MONROE,149602.42,2826596.31,Sales and Use,E047268344W016,Sep,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,high,False,2026-04-11T15:31:45.453079
VALLEY AUTO REPAIR LLC,22,NY,DUTCHESS,2622485.2,2659201.08,Sales and Use,E052526228W002,Feb,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,high,False,2026-04-11T15:31:45.453100
"F.A. USA GROUP, INC.",23,NY,RICHMOND,2583913.8,2583913.8,Sales and Use,E059891928W001,May,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.453111
SMALLBONE INC.,24,NY,NEW YORK,2573179.59,2577561.79,Sales and Use,E035274935W004,Aug,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.453119
COMPLETE RENOVATION & CONTRACTING CORP,25,NY,BRONX,2527228.66,2527228.66,Sales and Use,E050014089W002,Jul,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Construction,high,False,2026-04-11T15:31:45.453128
"JAM JUICE VAPE SHOP, INC.",28,NY,QUEENS,116000.0,2102118.84,Sales and Use,E045503757W003,Apr,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.463833
"ROTAVELE ELEVATOR, INC. TRADING AS CONTRACTOR SERVICES",29,NY,QUEENS,2057947.12,2057947.12,Sales and Use,E020744397W002,Sep,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.463848
"DANBERG ENTERPRISES, INC. TRADING AS ARSENAL CITY TAVERN",30,NY,ALBANY,1936985.38,2046374.0,Sales and Use,E047747291W002,Jan,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.463858
"AGL INDUSTRIES, INC.",31,NY,QUEENS,139981.44,2034028.24,Corporation,E044037545W002,Sep,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.463867
S & J INDUSTRIAL CORP.,32,NY,QUEENS,1356.51,2019912.5,Corporation,E044852728W011,Sep,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.463877
S & J INDUSTRIAL CORP.,32,NY,QUEENS,1303487.67,2019912.5,Withholding,E044852728W001,Mar,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.474884
CHIMICHURRI CHICKEN CORP. T/A CHIMICHURRI CHARCOAL CHICKEN,33,NY,NASSAU,12522.54,1960846.56,Corporation,E048250435W009,Nov,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.474901
ROMA FLI CORP.,34,NY,SUFFOLK,2874.36,1871915.14,Corporation,E036281932W003,Apr,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.474912
"EXECUTIVE AUTO REPAIR II, INC.",35,NY,NASSAU,3924.09,1682435.58,Corporation,E044751542W002,May,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,high,False,2026-04-11T15:31:45.474921
AVERY AUTO TRADING AS TRIANGLE COLLISION,36,NY,KINGS,1511948.97,1511948.97,Sales and Use,E061421616W001,Nov,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,high,False,2026-04-11T15:31:45.474930
NEW HORIZON AUTOMOTIVE INC,37,NY,KINGS,237121.1,1481907.57,Sales and Use,E023536581W016,Feb,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,high,False,2026-04-11T15:31:45.474938
ROMA NEW YORK INC. TRADING AS ROMA FURNITURE,39,NY,SUFFOLK,1454651.1,1454651.1,Sales and Use,E060670283W001,Apr,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.474952
"GIBRALTAR CONTRACTING, INC.",41,NY,BRONX,2119.5,1444591.54,Corporation,E008733653W077,Mar,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Construction,high,False,2026-04-11T15:31:45.474961
"GIBRALTAR CONTRACTING, INC.",41,NY,BRONX,263857.81,1444591.54,Withholding,E008733653W046,Aug,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Construction,high,False,2026-04-11T15:31:45.486014
"ANIMAL KINGDOM BREWSTER, INC. TRADING AS ANIMAL KINGDOM USA",42,NY,PUTNAM,608.5,1397953.39,Corporation,E024576836W016,Dec,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.486036
TELEBROAD LLC A/K/A TELE LLC,43,NY,KINGS,757397.39,1388037.38,Corporation,E029689123W023,Aug,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.497547
ALTER NATIVE RETAIL LLC,44,NY,NEW YORK,1193961.44,1338221.54,Sales and Use,E058152988W001,May,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.497565
"GRIFFIN SECURITY SERVICES, INC.",45,NY,BRONX,2632.13,1292578.69,Corporation,E039003822W034,Mar,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.497573
INDIGO WILLIAMSBURG HM LLC TRADING AS INDIGO HOTEL WILLIAMSBURG BROOKLYN,47,NY,KINGS,341431.79,1257079.95,Sales and Use,E051485767W012,Dec,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.510930
"ARTEX SYSTEMS, INC.",48,NY,ALBANY,37539.62,1230035.55,Corporation,E004978317W015,Oct,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.510955
INS CONSTRUCTION CORP,49,NY,KINGS,1222561.44,1222561.44,Corporation,E030411672W004,May,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Construction,high,False,2026-04-11T15:31:45.510967
ITRADENETWORK INC TRADING AS ITRADE NETWORK,50,NY,ALBANY,1208629.68,1208629.68,Sales and Use,E059381165W001,Jul,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.510976
"L'ADRESSE, LLC",51,NY,NEW YORK,487565.97,1206444.54,Sales and Use,E047490965W007,Aug,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.510983
"SWIFTY'S RESTAURANT AND PUB, INC. TRADING AS SWIFTY'S RESTAURANT & PUB",52,NY,ALBANY,431707.14,1206009.67,Sales and Use,E035332621W010,Feb,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Restaurant,high,False,2026-04-11T15:31:45.510993
591 AUTO DEALERSHIP LLC TRADING AS BROADWAY AUTO BROKERS,54,NY,BRONX,505675.08,1158925.72,Sales and Use,E058607150W004,Jun,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,high,False,2026-04-11T15:31:45.522055
"PITA GRILL MURRAY HILL, LLC",55,NY,NEW YORK,7126.5,1148076.38,Sales and Use,E027388741W004,Nov,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.522071
1601 ENTERPRISES INC. TRADING AS ROXY DELICATESSEN,56,NY,NEW YORK,1305.7,1145072.33,Corporation,E052315788W001,Apr,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.522082
17 JOHN OPCO LLC,57,NY,NEW YORK,496878.41,1138069.81,Sales and Use,E051580363W001,Aug,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.522090
RHCG SAFETY CORP.,58,NY,SUFFOLK,106.42,1134039.95,Corporation,E041311881W010,Aug,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.522103
TRISTATE AUTO SERVICE CENTER INC,59,NY,KINGS,1094499.54,1094499.54,Sales and Use,E057679376W001,Apr,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,high,False,2026-04-11T15:31:45.522113
CORNHILL LIQUORS LLC,62,NY,MONROE,27432.24,1074663.88,Sales and Use,E027572863W005,Sep,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.532994
SOUNDVIEW PETROLEUM INC.,63,NY,BRONX,104949.79,1049030.35,Sales and Use,E039085991W003,Aug,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.533013
"CPV STATEN ISLAND, INC. TRADING AS MONTALBANOS OF ROSEBANK",64,NY,RICHMOND,1045903.63,1045903.63,Sales and Use,E039201454W031,May,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.533026
BAR LIFE INC.,65,NY,KINGS,97269.94,1005750.41,Sales and Use,E050649382W006,Oct,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.533034
"BARRAJA, INC.",66,NY,NEW YORK,674.16,1002196.14,Corporation,E513915441W007,Jul,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.533042
23 INNOVATIONS INC.,67,NY,NEW YORK,3227.87,1000494.06,Corporation,E037434904W052,Nov,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.533052
SKY MATERIALS CORP.,68,NY,KINGS,12905.88,991116.71,Corporation,E017783792W024,Nov,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.544038
BEDNARK STUDIO INC.,69,NY,KINGS,6751.24,982624.25,Corporation,E031510125W003,Dec,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.544049
SECURE GREEN INC.,70,NY,KINGS,716.05,980930.2,Corporation,E034974540W025,Jun,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.544057
DAEJAN (N.Y.) LIMITED,71,NY,KINGS,972663.9,972663.9,Corporation,E001392369W004,Nov,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.544068
TRES MOSQUETEROS CORP. TRADING AS LA PULPERIA 46 NYC,72,NY,NEW YORK,10478.37,965508.93,Corporation,E043373761W017,Oct,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.555000
JH WINE & LIQUOR CORP,73,NY,NEW YORK,2463.94,956763.37,Corporation,E048669149W016,May,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.555015
MARACAS CLUB AND RESTAURANT LLC,75,NY,QUEENS,50.0,922273.55,Corporation,E032284204W037,Jul,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Restaurant,medium,False,2026-04-11T15:31:45.555061
MARACAS CLUB AND RESTAURANT LLC,75,NY,QUEENS,2414.1,922273.55,Corporation,E032284204W047,Oct,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Restaurant,medium,False,2026-04-11T15:31:45.565759
CHESTER STREET COLLISION INC.,76,NY,KINGS,2770.35,921490.65,Corporation,E053541490W001,Jun,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.565775
NYC MOTORCARS OF FREEPORT CORP. TRADING AS ZERO DOWN AUTO,77,NY,NASSAU,588650.64,918459.48,Sales and Use,E033468987W001,Jul,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,medium,False,2026-04-11T15:31:45.565786
"SRGL, INC. TRADING AS SWIFTY'S RESTAURANT AND PUB",78,NY,ALBANY,425991.63,910349.71,Sales and Use,E044399650W001,Feb,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Restaurant,medium,False,2026-04-11T15:31:45.565796
"PNEUCO, INC.",79,NY,ERIE,151.31,903596.29,Corporation,E005319910W040,Jan,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.565804
42-44 EAST BROADWAY RESTAURANT INC. TRADING AS HWA YUAN SZECHUAN,80,NY,NEW YORK,398990.32,901361.37,Sales and Use,E047811619W013,Oct,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Restaurant,medium,False,2026-04-11T15:31:45.576929
PENNKRAFT BUILDING SYSTEMS LLC,81,NY,ALBANY,250.0,899104.23,Sales and Use,E041681710W005,Oct,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.576943
BBV 7TH AVE LLC T/A PITA GRILL,82,NY,NEW YORK,20707.04,896447.02,Sales and Use,E029823230W006,Nov,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.576952
FAT BOYS PIZZA INC.,83,NY,ONTARIO,2818.94,895891.68,Corporation,E042397415W006,Mar,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.576962
12TH AVENUE RESTAURANT GROUP INC. TRADING AS HUDSON RIVER CAFE,84,NY,NEW YORK,3390.77,889507.36,Corporation,E034820784W001,Dec,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Restaurant,medium,False,2026-04-11T15:31:45.576974
FA & PARTNERS INC.,85,NY,RICHMOND,888895.01,888895.01,Sales and Use,E059892182W001,May,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.587731
WIPE IT DOWN COMMERCIAL CLEANING INC.,86,NY,MONROE,1521.94,883340.56,Corporation,E529612134W023,Nov,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.587743
HEAT CARIBBEAN KITCHEN & LOUNGE INC,87,NY,QUEENS,9677.01,873249.22,Sales and Use,E048779705W016,Aug,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,medium,False,2026-04-11T15:31:45.587753
GIULIA SALUMERIA CORP. TRADING AS MONTALBANOS ITALIAN FOOD SPECIALITIES,88,NY,RICHMOND,2913.58,864090.81,Corporation,E053556104W002,May,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Restaurant,medium,False,2026-04-11T15:31:45.587767
TZILA ZEV REALTY TRADING AS TRIANGLE AUTO BODY,91,NY,KINGS,839062.23,839062.23,Sales and Use,E061421619W001,Sep,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Real Estate,medium,False,2026-04-11T15:31:45.598199
GARTECH ELECTRICAL CONTRACTING CORP.,92,NY,KINGS,3358.1,835742.93,Corporation,E010709667W019,Nov,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Construction,medium,False,2026-04-11T15:31:45.598209
GARTECH ELECTRICAL CONTRACTING CORP.,92,NY,KINGS,7755.22,835742.93,Withholding,E010709667W024,Aug,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Construction,medium,False,2026-04-11T15:31:45.609133
"COUNTER INTELLIGENCE, INCORPORATED",93,NY,ALBANY,823.06,795668.3,Corporation,E034732357W002,Jun,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.609145
"TASTE OF THAI EXPRESS, INC.",94,NY,TOMPKINS,101537.84,778328.24,Sales and Use,E024386947W033,Oct,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.609155
EMERALD DRYWALL FINISHING CORP.,95,NY,ALBANY,1630.84,777406.15,Corporation,E034667561W013,Feb,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.609165
HITEN INTERNATIONAL INC.,96,NY,QUEENS,2870.88,759372.12,Corporation,E049208086W004,Apr,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.609175
"NORTHEAST LANDSCAPE & MASONRY ASSOCIATES, INC.",97,NY,WESTCHESTER,4831.79,759122.44,Corporation,E039561564W007,Feb,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.619970
"JOE'S FRIENDLY SERVICE & SON, INC.",98,NY,SUFFOLK,2405.46,749130.53,Corporation,E004368796W072,Mar,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.619983
ROCKWELL MAINTENANCE LLC,99,NY,ALBANY,591475.46,733777.96,Sales and Use,E050677447W005,Jan,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.619994
GOLD LEAF SECURITY INC.,100,NY,NASSAU,1544.69,732787.56,Corporation,E016673934W053,Dec,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,medium,False,2026-04-11T15:31:45.620003
Douglas County CO Data Available,0,CO,Douglas,0,0,property_tax,,,Douglas County Treasurer,https://douglastax.org/wp-content/uploads/2026/04/April-Delinquent.pdf,property,medium,False,2026-04-11T15:31:46.739297
